Town,Median Household Income,Poverty Rate,Population Density,Cluster
New Milford,93959,0.06,457.1,Rural
Newington,90979,0.04,2325.7,Urban periphery
Newtown,125285,0.05,478,Suburban
Norfolk,90170,0.07,37.7,Rural
North Branford,99004,0.03,581.9,Suburban
North Canaan,64719,0.09,170.3,Rural
North Haven,101124,0.04,1156.1,Suburban
North Stonington,85130,0.06,97.6,Rural
Norwalk,95377,0.1,3744.7,Urban periphery
Norwich,58885,0.15,1443,Urban periphery
Old Lyme,103421,0.03,330.3,Suburban
Old Saybrook,98939,0.05,680.8,Suburban
Orange,125087,0.02,812.3,Suburban
Oxford,109235,0.04,387.4,Suburban
Plainfield,71971,0.1,363.7,Rural
Plainville,81219,0.07,1824.4,Urban periphery
Plymouth,82095,0.07,559.2,Rural
Pomfret,105880,0.03,105.3,Rural
Portland,101124,0.04,407.2,Rural
Preston,82380,0.1,153.4,Rural
Prospect,109375,0.04,661.1,Suburban
Putnam,56835,0.11,472,Rural
Redding,147907,0.04,290.7,Suburban
Ridgefield,171685,0.03,713.8,Wealthy
Rocky Hill,101446,0.08,1464.9,Urban periphery
Roxbury,113523,0.03,86,Suburban
Salem,113558,0.03,143.5,Suburban
Salisbury,97656,0.05,65.4,Rural
Scotland,79934,0.02,92.6,Rural
Seymour,94331,0.07,1139.3,Rural
Sharon,81944,0.06,47.3,Rural
Shelton,105580,0.05,1291.7,Suburban
Sherman,135000,0.02,163.6,Suburban
Simsbury,142367,0.02,693.1,Suburban
Somers,106063,0.04,403.4,Suburban
South Windsor,106069,0.05,916.1,Suburban
Southbury,103750,0.06,510.5,Suburban
Southington,100430,0.04,1199.3,Suburban
Sprague,77565,0.09,225.2,Rural
Stafford,78596,0.1,208.3,Rural
Stamford,87865,0.11,3258.4,Urban periphery
Sterling,72206,0.12,140.7,Rural
Stonington,101399,0.05,479.7,Rural
Stratford,85751,0.06,2939.4,Urban periphery
Suffield,106495,0.04,372.3,Suburban
Thomaston,85965,0.03,659,Rural
Thompson,81218,0.08,201.7,Rural
Tolland,112261,0.02,379.8,Suburban
Torrington,67442,0.11,915.2,Urban periphery
Trumbull,126967,0.02,1544.3,Suburban
Union,88125,0.01,29.7,Rural
Vernon,80139,0.09,1648.6,Urban periphery
Voluntown,80085,0.02,66.8,Rural
Wallingford,92373,0.06,1156.1,Suburban
Warren,105809,0.07,55.5,Rural
Washington,94063,0.06,94,Rural
Waterbury,47646,0.23,3869.9,Urban core
Waterford,93933,0.05,595.6,Rural
Watertown,110823,0.03,776.2,Suburban
West Hartford,106634,0.07,2897.3,Urban periphery
West Haven,65449,0.12,5170.3,Urban periphery
Westbrook,85353,0.05,439.6,Suburban
Weston,233958,0.02,514.1,Wealthy
Westport,188581,0.04,1322.3,Wealthy
Wethersfield,100722,0.06,2166.3,Urban periphery
Willington,101964,0.12,181.4,Rural
Wilton,201136,0.04,673.8,Wealthy
Winchester,67827,0.07,345.8,Rural
Windham,48848,0.25,936.8,Urban periphery
Windsor,93688,0.05,984.4,Suburban
Windsor Locks,83388,0.08,1385,Urban periphery
Wolcott,94659,0.03,816.3,Suburban
Woodbridge,155000,0.03,477.9,Wealthy
Woodbury,104529,0.06,274,Suburban
Woodstock,106010,0.03,131.3,Rural
,,,,
"Five Connecticuts 2010: Please cite: Levy, Don: Five Connecticuts 2010 Update. (2015). Produced for Siena College Research Institute and DataHaven based on original 1990 and 2000 designations from ""Levy, Don, Orlando Rodriguez, and Wayne Villemez. 2004. The Changing Demographics of Connecticut - 1990 to 2000. Part 2: The Five Connecticuts. Storrs, Connecticut: University of Connecticut, The Connecticut State Data Center, Series, no. OP 2004-01.""",,,,
